,,,,,Average,,
0.011503741,0.004565314,0.692086638,1.098509099,0.644126676,0.451666198,,
0.009865792,0.011541502,1.936082038,2.694815757,1.932022617,1.163076272,,
0.007923178,0.022587587,1.184744124,0.520587621,1.363947952,0.433960628,,
0.02617879,0.024815923,1.645905032,2.218973168,1.308818622,0.978968228,0.900132131,
0.016441233,0.002391702,1.491204432,2.394655373,1.106383863,0.976173185,,
0.014257589,0.0032515,2.04350005,3.155666482,1.693068755,1.304168905,,
0.013131428,0.009604248,1.579992973,1.997799875,1.16823868,0.900132131,,
,,,,,,,
5th,,,,,,,
0.000536765,0.00017194,0.043142989,0.0187656,0.03155658,0.015654323,0.014858104,
0.000730677,0.001391744,0.059514812,0.041975721,0.058538112,0.025903239,,
0.000556486,0.000608307,0.046911599,0.011356023,0.051884938,0.014858104,,
0.000856893,0.001059974,0.072986625,0.056338537,0.09174938,0.032810507,,
0.001221291,0.000619956,0.499293931,0.15620819,0.363496127,0.164335842,0.164335842,
0.01909655,0.566086713,0.911712328,0.811318634,0.887115519,0.577053556,,
0.019021461,0.564775015,0.865272261,0.805116205,0.828997335,0.563546236,,
0.019058151,0.565902156,0.887162983,0.764595728,0.856262868,0.559179755,,
0.000455517,0.001138905,0.56766115,0.212831012,0.520038874,0.195521646,0.195521646,
0.000322994,0.001084378,0.587890307,0.236753193,0.542229725,0.206512718,,
0.000378344,0.000600271,0.624702869,0.312388285,0.585471525,0.234517442,,
0.000274122,0.000897981,0.597883634,0.25065709,0.55333662,0.212428207,,
0.002400796,0.009569734,0.697689086,0.512638766,0.673394696,0.305574595,0.305574595,
0.000420496,0.003420918,0.709150875,0.518769652,0.682626273,0.307940485,,
0.000405166,0.002724975,0.788143834,0.746848677,0.749605896,0.384530663,,
0.000737304,0.002305054,0.72898753,0.561486853,0.696362923,0.323379185,,
,,,,,,,
6th,,,,,,,
0.012114487,0.006626272,0.348922365,0.676747984,0.210969214,0.261102777,,
0.005517064,0.006751388,0.840532357,1.243322671,0.774498692,0.52403087,,
0.007102182,0.008426044,0.73419958,0.904247966,0.294964102,0.413493943,,
0.006846122,0.009497363,0.160982323,0.291235332,0.16805421,0.117140285,,
0.033037934,0.074166565,10.85365244,3.618403574,3.556451056,3.644815128,,
0.033785152,0.301836467,3.995704878,3.188490131,4.093000949,1.879954157,,
0.02775083,0.261211679,2.199245865,2.484677419,2.264171935,1.243221448,,
0.027805343,0.264923243,3.211099547,2.742203354,3.61526641,1.561507872,,
0.171707839,0.287959247,4.634579353,5.749074519,4.29798862,2.71083024,,
0.002956262,0.039269076,2.971776266,4.098993084,2.91147526,1.778248672,,
0.006740683,0.020416988,3.651763937,6.078255364,4.182559655,2.439294243,,
